Movie Title,Actors,Director,Rating
How to Train Your Dragon,"[' Jay Baruchel', ' Gerard Butler']",['Dean DeBlois (dir.)'],8.1
The General,"[' Buster Keaton', ' Marion Mack']",['Clyde Bruckman (dir.)'],8.1
Prisoners,"[' Hugh Jackman', ' Jake Gyllenhaal']",['Denis Villeneuve (dir.)'],8.1
Sherlock Jr.,"[' Buster Keaton', ' Kathryn McGuire']",['Buster Keaton (dir.)'],8.1
Mr. Smith Goes to Washington,"[' James Stewart', ' Jean Arthur']",['Frank Capra (dir.)'],8.1
12 Years a Slave,"[' Chiwetel Ejiofor', ' Michael Kenneth Williams']",['Steve McQueen (dir.)'],8.1
Mad Max: Fury Road,"[' Tom Hardy', ' Charlize Theron']",['George Miller (dir.)'],8.1
Barry Lyndon,"["" Ryan O'Neal"", ' Marisa Berenson']",['Stanley Kubrick (dir.)'],8.1
Stand by Me,"[' Wil Wheaton', ' River Phoenix']",['Rob Reiner (dir.)'],8.1
Network,"[' Faye Dunaway', ' William Holden']",['Sidney Lumet (dir.)'],8.1
Cool Hand Luke,"[' Paul Newman', ' George Kennedy']",['Stuart Rosenberg (dir.)'],8.1
Million Dollar Baby,"[' Hilary Swank', ' Clint Eastwood']",['Clint Eastwood (dir.)'],8.1
Into the Wild,"[' Emile Hirsch', ' Vince Vaughn']",['Sean Penn (dir.)'],8.1
Hachi: A Dog's Tale,"[' Richard Gere', ' Joan Allen']",['Lasse Hallström (dir.)'],8.1
Le salaire de la peur,"[' Yves Montand', ' Charles Vanel']",['Henri-Georges Clouzot (dir.)'],8.1
Ben-Hur,"[' Charlton Heston', ' Jack Hawkins']",['William Wyler (dir.)'],8.1
Du rififi chez les hommes,"[' Jean Servais', ' Carl Möhner']",['Jules Dassin (dir.)'],8.1
Platoon,"[' Charlie Sheen', ' Tom Berenger']",['Oliver Stone (dir.)'],8.1
Life of Brian,"[' Graham Chapman', ' John Cleese']",['Terry Jones (dir.)'],8.1
Dead Poets Society,"[' Robin Williams', ' Robert Sean Leonard']",['Peter Weir (dir.)'],8.1
Harry Potter and the Deathly Hallows: Part 2,"[' Daniel Radcliffe', ' Emma Watson']",['David Yates (dir.)'],8.1
Rush,"[' Daniel Brühl', ' Chris Hemsworth']",['Ron Howard (dir.)'],8.0
Logan,"[' Hugh Jackman', ' Patrick Stewart']",['James Mangold (dir.)'],8.0
La passion de Jeanne d'Arc,"[' Maria Falconetti', ' Eugene Silvain']",['Carl Theodor Dreyer (dir.)'],8.0
Andrei Rublev,"[' Anatoliy Solonitsyn', ' Ivan Lapikov']",['Andrei Tarkovsky (dir.)'],8.0
Les quatre cents coups,"[' Jean-Pierre Léaud', ' Albert Rémy']",['François Truffaut (dir.)'],8.0
Ah-ga-ssi,"[' Min-hee Kim', ' Jung-woo Ha']",['Chan-wook Park (dir.)'],8.0
Hotel Rwanda,"[' Don Cheadle', ' Sophie Okonedo']",['Terry George (dir.)'],8.0
Amores perros,"[' Emilio Echevarría', ' Gael García Bernal']",['Alejandro G. Iñárritu (dir.)'],8.0
Spotlight,"[' Mark Ruffalo', ' Michael Keaton']",['Tom McCarthy (dir.)'],8.0
Rang De Basanti,"[' Aamir Khan', ' Soha Ali Khan']",['Rakeysh Omprakash Mehra (dir.)'],8.0
Kaze no tani no Naushika,"[' Sumi Shimamoto', ' Mahito Tsujimura']",['Hayao Miyazaki (dir.)'],8.0
Rocky,"[' Sylvester Stallone', ' Talia Shire']",['John G. Avildsen (dir.)'],8.0
La haine,"[' Vincent Cassel', ' Hubert Koundé']",['Mathieu Kassovitz (dir.)'],8.0
Rebecca,"[' Laurence Olivier', ' Joan Fontaine']",['Alfred Hitchcock (dir.)'],8.0
"Monsters, Inc.","[' Billy Crystal', ' John Goodman']",['Pete Docter (dir.)'],8.0
Gangs of Wasseypur,"[' Manoj Bajpayee', ' Richa Chadha']",['Anurag Kashyap (dir.)'],8.0
The Circus,"[' Charles Chaplin', ' Merna Kennedy']",['Charles Chaplin (dir.)'],8.0
Portrait de la jeune fille en feu,"[' Noémie Merlant', ' Adèle Haenel']",['Céline Sciamma (dir.)'],8.0
It Happened One Night,"[' Clark Gable', ' Claudette Colbert']",['Frank Capra (dir.)'],8.0
Before Sunset,"[' Ethan Hawke', ' Julie Delpy']",['Richard Linklater (dir.)'],8.0
Fa yeung nin wah,"[' Tony Chiu-Wai Leung', ' Maggie Cheung']",['Kar-Wai Wong (dir.)'],8.0
"Paris, Texas","[' Harry Dean Stanton', ' Nastassja Kinski']",['Wim Wenders (dir.)'],8.0
